                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.98934,                0.80062,                  1.337,                 1.0862,                0.86022,                 1.3762,                0.85539,                0.76119,                0.85924,                0.63559,                0.93022,                0.71083,                 1.3647,                 1.0015,                0.82699,                 1.4334,              0.0011288,              0.0011288,              0.0011288
                     25,                0.97107,                0.73585,                 1.3254,                 1.0731,                0.81537,                 1.3774,                0.88259,                0.77114,                0.87555,                0.65327,                0.93083,                0.69888,                 1.4073,                0.98006,                0.76856,                 1.4274,              0.0010892,              0.0010892,              0.0010892
                     26,                0.95519,                0.72882,                 1.3273,                  1.057,                0.80155,                 1.3784,                0.83361,                0.79763,                0.87309,                0.63309,                0.94372,                0.69169,                 1.4011,                 1.0205,                0.78718,                 1.4733,              0.0010496,              0.0010496,              0.0010496
                     27,                0.97781,                0.75056,                 1.3237,                 1.1026,                 0.8349,                 1.3816,                0.84934,                0.76617,                0.85321,                 0.6235,                0.93406,                0.76065,                 1.3532,                 1.0064,                0.81907,                 1.4546,                0.00101,                0.00101,                0.00101
                     28,                 0.9267,                0.74369,                 1.3006,                 1.0511,                0.78431,                 1.3679,                0.89895,                0.83582,                0.90341,                0.67882,                0.92353,                 0.6204,                  1.388,                0.98302,                0.69654,                 1.4552,              0.0009704,              0.0009704,              0.0009704
                     29,                0.94121,                0.71874,                 1.3109,                 1.0367,                0.79097,                 1.3599,                0.83236,                0.91401,                0.90981,                0.67234,                0.94243,                0.62747,                 1.3703,                  1.028,                0.68339,                 1.4569,              0.0009308,              0.0009308,              0.0009308
                     30,                 0.9282,                0.71963,                 1.3003,                 1.0364,                0.75418,                 1.3622,                0.89949,                0.88557,                0.91386,                 0.6972,                 0.8581,                0.60292,                 1.3285,                0.91791,                0.68285,                 1.3729,              0.0008912,              0.0008912,              0.0008912
                     31,                0.94107,                0.66024,                 1.3079,                 1.0545,                0.75712,                 1.3717,                0.90761,                0.83083,                0.90868,                0.68001,                 0.8899,                0.62842,                 1.3846,                0.92005,                0.67489,                 1.4038,              0.0008516,              0.0008516,              0.0008516
                     32,                0.91269,                0.68414,                 1.2687,                 1.0308,                0.77212,                 1.3352,                0.90909,                 0.8806,                0.91056,                0.68352,                0.89105,                0.60882,                 1.3536,                0.95707,                0.67533,                 1.4092,               0.000812,               0.000812,               0.000812
                     33,                0.86355,                0.64157,                 1.2461,                0.94937,                0.69936,                  1.286,                0.88393,                0.87142,                0.90549,                0.70095,                0.87526,                0.64549,                 1.3426,                0.89906,                0.64837,                  1.374,              0.0007724,              0.0007724,              0.0007724
