                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2343,                  2.656,                 1.5276,                0.22312,                 0.0796,                0.06925,                0.03174,                 3.0618,                    nan,                 3.5716,             0.00065608,             0.00065608,             0.00065608
                      2,                  1.415,                  1.889,                 1.6271,                0.00593,                0.02488,                0.00165,                0.00036,                  3.882,                 114.49,                 20.567,              0.0012966,              0.0012966,              0.0012966
                      3,                 1.4472,                 1.8122,                 1.6382,                0.22603,                0.16418,                0.09575,                0.04785,                 1.8223,                 26.873,                 2.4754,              0.0019106,              0.0019106,              0.0019106
                      4,                  1.478,                 1.5887,                 1.7394,                0.02107,                0.10945,                0.01695,                 0.0066,                 3.5945,                 5.0666,                 4.6303,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4416,                 1.4729,                 1.6702,                  0.001,                0.00995,                0.00034,                 0.0001,                 4.6038,                  44.36,                 5.6843,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.341,                 1.4192,                 1.5993,                0.77534,                0.51244,                0.60772,                0.37723,                 1.4468,                 1.8497,                 1.8958,               0.001802,               0.001802,               0.001802
                      7,                 1.3146,                 1.3717,                 1.5621,                0.74775,                0.63184,                 0.7349,                0.45313,                  1.278,                 2.4222,                  1.685,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2638,                 1.1963,                 1.5485,                 0.7296,                0.64179,                0.73186,                0.47539,                  1.286,                 1.3793,                 1.6731,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1922,                 1.1694,                 1.5121,                0.75098,                0.67519,                0.75201,                 0.5041,                  1.241,                 1.2574,                 1.7124,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1622,                 1.1087,                 1.4898,                0.73675,                0.72139,                0.78869,                0.53608,                 1.1681,                 1.1977,                 1.5993,              0.0016436,              0.0016436,              0.0016436
