                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3501,                0.87913,                0.39789,                  1.435,                0.83854,                0.40437,                0.89634,                0.90547,                0.93903,                0.74642,                 1.9314,                 1.4122,                0.49286,                 1.9605,                 1.5445,                0.49741,              0.0015098,              0.0015098,              0.0015098
                     25,                 1.3065,                0.85785,                0.39661,                 1.3881,                0.83057,                0.40291,                0.90073,                0.90289,                0.94557,                0.74816,                 1.9783,                 1.4454,                0.49988,                 2.0029,                 1.5539,                0.50108,              0.0014562,              0.0014562,              0.0014562
                     26,                 1.3372,                0.85872,                0.39589,                 1.3957,                0.82427,                0.40036,                0.91316,                0.87562,                0.93557,                0.74611,                  1.997,                 1.5624,                0.48645,                 2.0238,                 1.6092,                0.48804,              0.0014025,              0.0014025,              0.0014025
                     27,                 1.2516,                0.83969,                0.39141,                 1.3301,                0.77267,                0.39766,                0.86485,                0.90547,                0.92612,                 0.7278,                 2.0299,                 1.6486,                0.49622,                 2.0753,                 1.8491,                0.49304,              0.0013489,              0.0013489,              0.0013489
                     28,                 1.2498,                 0.8271,                0.39035,                  1.337,                0.74377,                0.39675,                0.91129,                0.89552,                0.91859,                0.72039,                 1.9547,                 1.5069,                0.49618,                  1.982,                 1.7177,                0.49882,              0.0012952,              0.0012952,              0.0012952
                     29,                 1.2731,                0.81189,                 0.3875,                 1.3377,                0.73611,                 0.3928,                0.89086,                 0.8934,                0.91216,                0.71562,                 1.9709,                 1.5646,                0.49416,                 2.0615,                 1.7664,                0.50033,              0.0012416,              0.0012416,              0.0012416
                     30,                 1.2626,                0.78892,                0.39253,                 1.3287,                0.70676,                0.39825,                0.90637,                0.89055,                0.93812,                 0.7344,                 2.0645,                 1.4673,                0.51713,                 2.1019,                 1.6698,                0.52004,              0.0011879,              0.0011879,              0.0011879
                     31,                 1.2663,                0.86783,                0.39205,                 1.3379,                0.81281,                0.39691,                0.93356,                0.88557,                0.93986,                0.73631,                 2.0027,                 1.4006,                0.50186,                 2.0097,                 1.6882,                0.50034,              0.0011343,              0.0011343,              0.0011343
                     32,                 1.1909,                0.79018,                 0.3804,                 1.2613,                0.73166,                0.38777,                0.93378,                0.89055,                0.93736,                0.73471,                 2.0031,                 1.5074,                0.50565,                 2.0364,                 1.7413,                0.50572,              0.0010806,              0.0010806,              0.0010806
                     33,                 1.2517,                 0.8396,                 0.3924,                 1.3186,                0.85332,                0.39806,                0.91545,                0.88557,                0.91797,                0.71707,                 1.9825,                 1.5536,                0.50419,                 2.0388,                 1.7829,                0.50545,               0.001027,               0.001027,               0.001027
