                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2253,                0.81165,                0.37091,                0.88885,                0.91503,                 0.9262,                 0.7359,                 1.9604,                 1.4938,                0.46549,             0.00086607,             0.00086607,             0.00086607
                     36,                 1.2551,                0.80699,                0.37637,                0.89931,                0.89552,                0.91576,                0.72648,                 1.9595,                 1.4967,                0.46526,             0.00081242,             0.00081242,             0.00081242
                     37,                 1.2394,                0.78072,                0.37732,                0.90942,                0.89915,                0.93679,                0.75532,                 1.9761,                 1.4291,                0.46317,             0.00075878,             0.00075878,             0.00075878
                     38,                 1.1521,                0.72555,                0.36969,                0.89122,                0.89678,                0.92687,                0.73859,                 2.0251,                 1.4429,                0.46967,             0.00070513,             0.00070513,             0.00070513
                     39,                 1.2295,                0.75945,                0.37568,                 0.9104,                0.89055,                 0.9341,                0.74917,                  1.993,                 1.4478,                0.46483,             0.00065149,             0.00065149,             0.00065149
                     40,                 1.2519,                0.75133,                0.38336,                0.90437,                0.89397,                0.93454,                0.75189,                 1.9702,                 1.4743,                 0.4532,             0.00059784,             0.00059784,             0.00059784
                     41,                 1.0307,                 0.5628,                0.34639,                0.91412,                 0.9005,                0.93637,                0.75201,                 1.9937,                 1.4574,                0.45454,              0.0005442,              0.0005442,              0.0005442
                     42,                0.96671,                0.52118,                0.33753,                0.91825,                0.89408,                0.93471,                0.74672,                 1.9781,                 1.4255,                0.45236,             0.00049055,             0.00049055,             0.00049055
                     43,                 1.0127,                0.55259,                0.33895,                 0.9122,                0.89552,                 0.9357,                0.74619,                 1.9872,                 1.4616,                0.45367,             0.00043691,             0.00043691,             0.00043691
                     44,                0.99568,                0.52016,                0.34245,                0.89555,                 0.9005,                0.93238,                0.74657,                 1.9963,                 1.5035,                0.45513,             0.00038326,             0.00038326,             0.00038326
                     45,                 0.9848,                0.51225,                0.34156,                0.90054,                0.90092,                0.93126,                0.74448,                 1.9899,                    1.5,                0.45495,             0.00032962,             0.00032962,             0.00032962
                     46,                0.97594,                0.51009,                0.34023,                0.90377,                0.89552,                0.93461,                0.74511,                 1.9883,                  1.492,                0.45489,             0.00027597,             0.00027597,             0.00027597
                     47,                0.96786,                0.51652,                0.34324,                0.90431,                0.89552,                0.93346,                0.74946,                 1.9886,                 1.4774,                0.45539,             0.00022233,             0.00022233,             0.00022233
                     48,                0.93345,                0.50511,                0.33672,                 0.9036,                0.89552,                 0.9317,                0.74871,                 2.0005,                 1.5045,                0.45507,             0.00016868,             0.00016868,             0.00016868
                     49,                0.97084,                0.50622,                0.33753,                0.90941,                0.89894,                0.92988,                0.74691,                 1.9922,                 1.5223,                0.45441,             0.00011504,             0.00011504,             0.00011504
                     50,                0.95884,                0.52377,                0.33561,                0.90751,                 0.9005,                0.92985,                0.74691,                 1.9909,                 1.5384,                0.45432,             6.1392e-05,             6.1392e-05,             6.1392e-05
